Country Name,Country Code,Series Name,Series Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,7228792185.8025,7867259194.15068,7978511520.99477,8874475611.97397,9349917056.94245,10642666466.7061,11060389403.7128,13426265139.5021,15354604611.6719,15420069703.0793,17386481260.8962,18360253681.3442,18860486754.6234,19134211763.859,19566705069.6652,20084636379.3769,20323488524.6834,21118462796.7609
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,332.766882686638,345.639571205302,335.701731307511,359.899002051634,368.008644571361,408.573454213443,415.086995378652,491.942093006472,547.354895909701,532.679976956162,580.487287595146,591.947068464406,588.008897592462,578.466352941708,575.334442418746,575.707053139002,568.82792735402,577.563057619788
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,0.00434099089229203,0.00742179054796238,0.016454884640078,0.0109036309490409,0.0111524113991172,0.0764152044481749,0.224465173426611,0.126422320655726,0.212188085387117,0.495356516225989,0.270285101037537,0.237255122486996,0.226599986405594,0.162117663035533,0.247302339719322,0.397626964335567,0.535542773023099,0.373839670727645
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.238472916123355,0.20603028073656,0.0987191160179498,0.0859856046188432,0.0761314539561651,0.0690201164374886,0.0625880343135185,0.0568266177530693,0.0531974990082466,0.040652730150598,0.0370549371204185,0.0374878650392429,0.0486708995010525,0.0570080382600792,0.0456996082249427,0.0639269698296666,0.0733929460601948,0.0870831291861248,0.158356377673251,0.211306250868557,0.297065211570221,0.407073503097594,0.335351023308404,0.263715760645502,0.234036914423758,0.232175631246749,0.208857195602366,0.20332756862023,0.200151071015376,..
Afghanistan,AFG,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.88411277331996,1.99591306318908,1.33250174740999,1.76063654184963,2.24561299646338,1.48569193557955,1.54847691566463,1.59923664309762,1.64897788583862,1.57068110175532,1.68617312382687,1.8273988865553,1.36028256182598,1.32502825287787,1.14399635836639,1.26764724208131,1.40862313227307,1.46093757483826,2.14758991176544,2.61706039799516,2.93993655831435,3.7559233122206,2.98475717572819,2.75118171303033,2.63753256874586,2.45770500221765,..,..,..,..
Afghanistan,AFG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,2510,2290,2060,1840,1620,1400,1340,1290,1230,1180,1120,1100,1070,1050,1020,1000,4000,7000,9990,12990,15990,25360,34720,44090,53450,62820,64510,66210,67910,..
Afghanistan,AFG,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.EG.KT.CE,400,360,310,270,220,180,170,170,160,150,150,150,150,150,150,150,400,650,910,1160,1410,1930,2440,2950,3460,3970,4070,4180,4280,..
Afghanistan,AFG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,15.9245316828932,17.0364435282942,26.5216286544368,30.5856670489932,32.7962505504008,35.0756402917937,37.9457475001443,41.4326008731029,44.0943368543633,52.1857743728053,54.2431983947754,54.0550003051758,43.7711982727051,42.2761001586914,49.8432006835938,40.8591995239258,37.1372985839844,33.8625984191895,21.3437004089355,17.8504009246826,14.8990001678467,11.559100151062,14.404899597168,17.1049995422363,20.770299911499,20.2737998962402,24.7402992248535,25.082799911499,21.422700881958,..
Afghanistan,AFG,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,12412311,13299016,14485543,15816601,17075728,18110662,18853444,19357126,19737770,20170847,20779957,21606992,22600774,23680871,24726689,25654274,26433058,27100542,27722281,28394806,29185511,30117411,31161378,32269592,33370804,34413603,35383028,36296111,37171922,38041757
Afghanistan,AFG,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,15180,15100,13630,13460,13270,13480,14440,15340,16100,16910,15080,13490,16090,16780,16520,17400,21040,24880,31540,36960,44910,58650,66750,74800,84620,93730,95370,97300,98920,..
Afghanistan,AFG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,0.029101080046802,0.0266858315480046,0.025399068790409,0.0259732745155127,0.0221440890371755,0.0146957032171999,0.0161380341741951,0.00545778248651692,0.00496405675816999,0.00661616208441344,0.109759658709867,0.0040171082591659,0.00316611766583391,0.00107637752933451,0.000872220253764918,0.00129589711544822,0.00193851377624702,0.00162776252475565
Afghanistan,AFG,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,1.02357022157732,0.710009344197614,0.440030580283539,0.381719799714812,0.50226548978958,0.449365385586923,0.61129544713737,0.418062902143286,0.609980533237616,0.879277901469813,0.702276007055204,0.545882309970938,0.544477423767102,0.495307092990868,0.677458943912128,0.696790427167799,0.915366188790762,0.77395727295575
Afghanistan,AFG,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,0.0321245558043524,0.0115705359126356,0.0103895380484067,0.0126381416579317,0.0148917470496534,0.0155056628971892,0.0169940719018454,0.0114045372234545,0.0343921556870659,0.067987611615379,0.0583788012581106,0.0431043064546898,0.0440778563089162,0.0397543817211093,0.0286066618957396,0.0305972755361812,0.0425745832817803,0.0306807528024057
Afghanistan,AFG,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,5279159422.75171,3800881722.94428,3527708137.71626,3864936281.97555,4185836785.30012,4743487914.07233,5175145287.86025,4610020246.04493,5017058469.28803,5663797625.16614,6057217275.17097,6559561240.86077,6857137321.17618,7236243584.07859,7635298386.90052,8057257367.83525,8532849798.07516,9043392346.22084,9721650518.69391,10047742806.9025,10420206418.2643,10685442992.7045,10836881664.2072,10945469119.3118,11139690870.7706,11386850129.8411,11764322012.1672,12211628287.1601,12702457551.515,12970913827.5704
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1606.38544392283,1163.55604664281,1086.49895155341,1197.64724412258,1305.07334735987,1488.1033058211,1633.64248602715,1464.3790730855,1603.74626382307,1821.97052706629,1961.05732300478,2143.65380130231,2247.70508766046,2380.8957780916,2522.60385733395,2675.76099866915,2851.56736926591,3045.01560629582,3298.60560217562,3432.16246468042,3577.10398111811,3678.03404210171,3736.33663686715,3780.69457138266,3855.75746826905,3952.80121524465,4090.36332250186,4249.7938500033,4433.74173910081,4549.45744148539
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,39.4369634031142,36.0705200632829,108.785472241159,80.518332770413,53.1025847356112,47.6105948729712,44.895444716607,45.4255562530936,48.1375348189415,51.0110303565873,63.454073132628,66.4910240323437,68.5250682234387,67.0205610427628,67.0471873068205,70.8723467754672,74.2670902393052,83.2020801053931,77.4517514962857,75.0949144008056,76.5433902447878,81.218568933066,76.5102006210933,75.8737138467897,75.4078455964825,71.801006339647,74.809862823171,78.1942739956599,76.8081181330347,76.2870595704158
